datid,datname,pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query,backend_type
13408,postgres,208,10,postgres,,172.27.0.1,,37866,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,209,10,postgres,,172.27.0.1,,37868,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,210,10,postgres,,172.27.0.1,,37870,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,211,10,postgres,,172.27.0.1,,37874,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,212,10,postgres,,172.27.0.1,,37872,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,213,10,postgres,,172.27.0.1,,37876,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,214,10,postgres,,172.27.0.1,,37878,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,215,10,postgres,,172.27.0.1,,37880,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,216,10,postgres,,172.27.0.1,,37882,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,217,10,postgres,,172.27.0.1,,37884,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
